	test
225	['ыыы', 'свыня', 'бот', 'визжать', 'боль', 'российский', 'гражданин', 'оказываться', 'заначка', 'бюджет', 'усраина', 'ыыы', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣']
226	['поскулить', 'мыкола']
227	[]
228	['кредит', 'ипотека', '😏', '😂', '😎']
229	['кыргыстан', 'точно']
230	['счёт', 'иностранный', 'валюта', 'ипотека', 'шта', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣']
231	['що', 'кыргызстан', 'по', 'подробный', 'кук', 'рюня', '😉', '😊']
232	['учитывать', 'китай', 'россия', 'заключить', 'договор', 'долгосрочный', 'перспектива', 'покупка', 'китайский', 'валюта', 'смысл']
233	['который', 'находить', 'обыск', 'очередной', 'чиновник']
234	['чиновник', 'свой', 'деньга', 'храниться', 'дом', 'снимать', 'банк', 'покупать', 'обменник', '🤣', '🤣', '🤣', '🤣']
235	['эм', 'ты', 'сказать', 'такой', 'наш', 'страна', 'верховенство', 'закон', 'иначе', 'нарушать', 'отправляться', 'тюрьма']
236	['скупать', 'торопиться']
237	['попрошайка', 'подраться', 'чёрный', 'ципсота', 'немой', 'опознать', 'поп', 'мда', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣']
238	['выпускать', 'икона', 'рука', '🤣']
239	['думать', 'это', 'технологический', 'прорыв', 'или', 'рывок', '🤔', 'или', 'байден', 'виноватый']
240	['лиш', 'железный', 'дорога', 'сша', 'заикнуться', 'ой']
241	['заметить', 'репортаж', 'разбомбить', 'дорога', 'донбасс', 'ездить', 'быстрый', 'рф', 'видимо', 'русский', 'асфальт', 'ложить', 'снаряд', 'брать', '🤷', '\u200d', '♂', '️']
242	['думать', 'это', 'технологический', 'прорыв', 'или', 'рывок', '🤔', 'или', 'путин', 'виноватый', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣']
243	['начинать', 'вечно', 'наболевший', 'тема', 'наш', 'украинский', 'асфальт', '😩']
244	['дмитрий', 'начать', 'тема', 'наш', 'украинский', 'асфальт']
245	['чел', 'украинский', 'фамилия', 'выкладывать', 'ваш', 'окраинский', 'новостить']
246	['ооо', 'российский', 'танк', 'везде', 'быстро', 'ехать']
247	['припечь', 'видно', 'всё', 'наладиться', 'состав', 'рф', 'быть']
248	['тер', 'лебонькать']
249	['ботярый', 'белорусский', 'фамилия', '😉']
250	['ничего', 'удивительный', 'смотреть', 'сказка', 'пропаганда', 'человек', 'гораздо', 'верить', 'доллар', 'рубль']
251	['свыня', 'бот', 'сколько', 'рубль', 'рука', 'население', 'курс', '🤣', '🤣', '🤣', '🤣']
252	['как', 'выясниться', 'оплатить', 'налог']
253	['вообще', 'россия', 'платить', 'налог', '😂']
254	['работать']
255	['лола']
256	['я', 'первый', 'школьник', '🥳']
257	['кто', 'второй', 'студент']
258	['де', 'бить', '⬆', '️']
259	['ты', 'третий', 'работник']
260	['зель', 'решить', 'церковь', 'пойти', 'конфилкт', '😬']
261	['ирод']
262	[]
263	[]
264	['что', 'пора', 'ядерка', 'бабахнуть', 'устроить', 'страшный', 'суд']
265	['гундяевский', 'фсбшник', 'церковь', 'рф', 'называть']
266	['агент', 'фсб', 'ряса']
267	['💩', 'страна', 'где', 'ваш', 'еврейский', 'апостол']
268	['💩', 'страна', 'вы', 'ы', 'ева', 'еи', 'сам', 'назвать', 'мыкола', 'чёрный', '…']
269	['муха', 'страна', 'муха', '💩', 'любить']
270	['никакой', 'ценнность', 'остаться', 'украина', 'псоля', 'борьба', 'церковь', 'на', 'пустой', 'место', 'создавать', 'проблема', 'свой', 'гражданин']
271	['честно', 'говорить', 'пос', 'ать', 'судьба', 'монах', 'тот', 'верить', 'бог', 'заслуживать', 'лишь', 'презрение']
272	['далеко', 'пойти', 'такой', 'убеждение', '🐽', '🇺🇦', '😅']
273	['весь', 'посрать', 'твой', 'жалкий', 'мнение']
274	['украинец', 'такой', 'веруна', 'наш', 'гражданин']
275	['💩', 'страна', 'у', 'иаков', 'жена', 'лия', 'рахиль', 'вы', 'еврей', 'цыган', 'родиться', 'любимый', 'жена', 'лия']
276	['скулить', 'кремл', 'ть']
277	['💩', 'шакал', 'страна', 'серый', 'маленький', 'хотеть', 'хапнуть', 'завладеть', 'чужой', 'он', 'плакать', 'хохотать', 'злоба', 'чёрный', 'одержимый', 'обречь', 'слабый', 'искать', 'подбираться', 'стремглав', 'нападать', 'хитрый', 'хищник', 'и', 'трусливый', '–', 'подлый', 'нрав', 'не', 'судьба', 'наесться', 'вволю', 'в', 'стая', 'кураж', 'измерять', 'львиный', 'доля', 'свой', 'процент', 'делёж', 'неприглядный', 'изнанка', 'таков', 'весь', 'жизнь', 'быть', '–', 'строить', 'разный', 'подлянка', 'хоть', 'кто', 'куснуть', 'так', 'бывать', 'шакал', 'человек', 'разумный', 'стать', 'постепенно', 'сначала', 'стать', 'думать', 'шакал', 'но', 'показ', 'внешне', '–', 'просто', '«тишь', 'гладь»', 'и', 'порою', 'сразу', 'невозможно', 'распознать', 'да', 'человек', 'такой', 'немало', 'мутить', 'мёд', 'кормить', 'но', '–', 'обидеться', 'шакал', 'если', 'сравнивать', 'человек']
278	['верить', 'по', 'логика', 'презрение', 'относиться', 'любой', 'человек', 'который', 'верить']
279	['избие', 'ние', 'православный', 'украина', 'черновицкий', 'область', 'кельминицкий', 'район', 'село', 'бабин', 'де', 'мона', 'мрак', 'обес']
280	['это', 'край']
281	['мученик', 'вера', 'православный', '🙏']
282	['вна', 'россия', 'делать', 'дорога', '😁']
283	['россия', '🇷🇺', 'восстановить', 'мариуполь', 'который', 'разрушить', 'киев', 'майдануть', 'нацист', 'почувствовать', 'разница', 'украибот']
284	['крым', 'съездия', 'посмотреть', 'какой', 'дорога', 'амёба', '🤣']
