	test
11579	['ворошить', 'ранить', 'нести', 'они', 'трогать']
11580	['причём', 'трогать', 'мочь', 'вызвать', 'скорый', 'просто', 'сбежать']
11581	['глаз', 'узкий', 'плохо', 'видеть', 'ездить', 'это', 'проблема', 'япония', 'коррекция', 'глаз', 'популярный']
11582	['🤣', '🤣', '🤣']
11583	['стресс']
11584	['прибыть', 'спасатель', 'врач', 'обнаружить', 'салон', 'раненый', 'летний', 'юноша', 'мёртвый', 'тело', 'второй', 'пассажир', 'летний', 'данил', 'читаемый', 'внимательно']
11585	['уверенный', 'это', 'писать']
11586	['один', 'раненый', 'труп', 'читаемый', 'внимательный']
11587	['откроить', 'тайна', 'человек', 'узкий', 'разрез', 'глаз', 'видеть', 'свой', 'широкий']
11588	['хороший', 'друг']
11589	['кусок', 'говно', 'стоить', 'пара', 'год', 'назад', 'батя', 'купить', 'скорее']
11590	['когда', 'друг', 'оказаться']
11591	['вот', 'такой', 'друг', 'ук']
11592	[]
11593	['тот', 'послать', 'инфоцыган', 'жирный', 'очкастый', 'задрот', '😂']
11594	['с', 'такой', 'друг', 'враг', 'недо', '😳']
11595	['обращаться', 'друг', 'друг', 'иначе', 'брат', 'братишка', 'ну']
11596	['брат', 'конец', '😁']
11597	['русский', 'прикончить', 'место', 'родственник', 'поэтому', 'убежать', 'русский', 'иметь', 'такой', 'ген']
11598	['такой', 'друг', 'вообще', 'никто', 'труп', 'пох']
11599	['ой', 'хорошоб', 'радостный', 'день']
11600	['какой', 'вид', 'фото', 'русский', 'наверно', 'метис', 'наверно', 'русофил', 'наверно', 'легально', 'жить', 'наверно', 'наверно', 'наверно']
11601	['это', 'хакасия', 'местный', 'население', 'выглядеть']
11602	['узкий', 'глаз', 'плохо', 'видеть', 'японец']
11603	['японец', 'ты', 'плюнуть']
11604	['скорее', 'дуля', 'показать', 'отказ', 'секс', 'но', 'это', 'понятно']
11605	['узкий', 'глаз', 'японец', 'производить', 'тазик', 'расик']
11606	['россия', 'жить', 'русский', 'ну', 'неужели', 'свой', 'деревня', 'выезжать', 'штрудировать', 'учебник', 'география', 'товарищ', 'быть', 'показывать', 'узколобость']
11607	['далбоести', '😄', '😄']
11608	['очень', 'смешно', 'когда', 'россия', 'стать', 'русстан', 'тогда', 'быть', 'правый']
11609	['дожить', 'время']
11610	['не', 'думать']
11611	['очень', 'жаль', 'ребята', 'мочь', 'шок', 'поступить']
11612	['орэ', 'орэ', 'малолетка', 'приорэ']
11613	['приор', 'это', 'стать', 'синоним', 'малолетсв']
11614	['быть', 'странно', 'бежать', 'прихватить', 'труп', 'себя', '😐']
11615	['прибыть', 'спасатель', 'врач', 'обнаружить', 'салон', 'раненый', 'летний', 'юноша']
11616	['погибший', 'летний']
11617	['ага', 'раненый', 'бросать', 'умирать']
11618	['реально', 'думать', 'чел', 'который', 'светить', 'год', 'колония', 'пульс', 'кто', 'проверять', 'дать', 'драть', 'конечночий', 'тупой', 'решение', 'никто', 'спорить', 'довольно', 'часто', 'дтпшник', 'вести', 'пытаться', 'скрыться', 'поэтому', 'целое', 'удивительный']
11619	['зависеть', 'человек', 'равно', 'значит', 'пример', 'оставить', 'умирать', 'мать', 'найти', 'равно', 'получить', 'видимо', 'испугаться']
11620	['согласный', 'я', 'лишь', 'тот', 'ситуация', 'банальный', 'пытаться', 'спасти', 'шкура', 'сразу', 'забываться', 'друг', 'родный', 'так', 'далее']
11621	['а', 'погибший', 'салон', 'ранить', 'который', 'нужно', 'скорый', 'вызвать', 'оказать', 'первый', 'помощь', 'приезд', 'что', 'степена', 'тупой', 'поколение', 'егэ']
11622	['хорошо', 'съездить', '☠', 'почти', 'сразу', 'рай', '😇']
11623	['пункт', 'назначение']
11624	['хренас', 'прилёт', 'по', 'вид', 'кабина', 'весь', 'кузов', 'сгрузить']
11625	['сначала', 'подумать', 'кирпич', 'пока', 'картинка', 'глянуть', 'жёстко']
11626	['кирпич', 'оказаться', 'блок']
11627	['обычный', 'дело', 'грузовик', 'упасть', 'угодный']
11628	['перед', 'я', 'говнокачка', 'шланг', 'упасть']
11629	['жигули', 'ехать', 'давненько', 'будка', 'газик', 'выпасть', 'банный', 'печь', 'еле', 'увернуться']
11630	['как', 'ловить', 'впереди', 'идти', 'автомобиль', 'мой', 'родня', 'запаска', 'выпасть', 'маз', 'хорошо', 'днище', 'авто', 'стать', 'неупровлять', 'хорошо', 'ночь', 'пустой', 'трасса', 'удаться', 'улететь', 'задолбаться', 'домкратить', 'машина', 'запаска', 'её', 'снять', '🤷', '\u200d', '♂', '️']
11631	['раз', 'прилетать', 'один', 'мост', 'фура', 'отвалиться', 'затормозить', 'успеть', 'второй', 'огромный', 'глыба', 'лёд', 'фура', 'хорошо', 'встречка', 'чистый', 'а', 'третий', 'гореть', 'колесо', 'фура', 'прям', 'скакать', 'вот', 'припотеть', '😩']
11632	['конфисковать']
11633	['нафиг', 'оно', 'нужно']
11634	['правильно', 'салон', 'завоняться']
11635	['год', 'дать', 'тот', 'крепить', 'груз', 'тот', 'проверять']
11636	['явно', 'перевозчик', 'хотеть', 'сэкономить', 'бензин', 'поэтому', 'перегруз']
11637	['перегруз', 'загуголь', 'сколько', 'весить', 'куб', 'газобетон']
11638	['наоборот', 'год', 'тот', 'проверять', 'особенно', 'видеть', 'плохо', 'закрепить', 'груз', 'отпустить', 'машина', 'рейс']
11639	['какой', 'год', 'лола']
11640	['преднамеренный', 'убийство']
11641	['упороться', 'штоль']
11642	['а', 'почему', 'человек', 'который', 'отвечать', 'транспортировка', 'видеть', 'груз', 'х', 'ево', 'закрепить', 'забить', 'хрен', 'отпустить', 'машина', 'путь', 'иначе']
11643	['иначе', 'никакой', 'пахнуть']
11644	['крепёж', 'груз', 'отвечать', 'водитель', 'никто']
11645	['это', 'жизнь', 'детка', 'иногда', 'бывать', 'автомобиль', 'везти', 'смерть', 'инвалидность', '😐']
11646	['жизнь', 'среди', 'дурак', 'это', 'устраивать', 'признаваться', 'дурак']
11647	['спорный', 'мнение', 'как', 'получаться', 'имхо', 'вы', 'дура', 'дурак', 'и', 'право']
11648	['это', 'признать']
11649	['где', 'кирпич', 'это', 'газобетон']
11650	['это', 'принципиально', 'но', 'умный', 'марка', 'писать', 'балобол', 'выглядеть']
11651	['как', 'это', 'принципиально', 'марка', 'фото', 'определить']
11652	['видимо', 'целый', 'поддон', 'газобетон', 'рухнуть', 'посыпаться']
11653	['и', '👇', 'он', 'поход', 'пол', 'кузов', 'разгрузить', '🤔']
11654	['фига', 'сие', 'кирпич', 'то', 'блок']
11655	['сибитый', 'вроде', 'нотный', 'скорость', 'кирпич', 'завалить', 'хилый']
11656	['пункт', 'назначение']
11657	['при', 'бабло', 'бабка', 'явно', 'потушить', 'солидный', 'куш']
11658	['фото', 'смотреть', 'твой', 'милый', 'общение', 'мужской', 'трансгендер', '😂']
11659	['😂', 'плохой', 'сильный', 'независимый', 'я', 'сам']
11660	['милый', 'спасибо', '🙏', '☺', '️']
11661	['бабка', 'вон', 'сильный', 'независимый', '😁', '💁']
11662	['что', '🗿', 'значит', 'судьба', 'переписать']
11663	['улыбка', 'сильный', 'зависимый', 'гыгыг', '😆', '😁']
11664	['сейчас', 'тип', 'должный', 'среагировать', '🗿', 'бреккета', 'таакать', 'тема', 'приятный', '😬']
11665	['что', 'делать', '😂', 'среагировать', 'давать', 'играть', '🗿', '🗿']
11666	['место', 'говорить', 'лишь', 'заказчик', 'знать', 'тело', 'а', 'знать', 'исполнитель', 'и', 'сдавать', 'мужичок', 'хотеть']
11667	['старый', 'дура', 'найти', 'свой', 'пельмень', 'помощник', '😂']
11668	['идиотка', 'сколько', 'ущербный', 'жизнь', 'от', 'твой', 'недалёкий', 'коммент', 'коробить', 'свинья', 'на', 'свой', 'пельмень', 'найти', 'место', 'должный', 'голова']
11669	['скорее', 'это', 'фейк', 'сидеть', 'мужик', 'строчить', 'вечно', 'мизогинный', 'комма', 'раздражать']
11670	['человек', 'гибнуть', 'металл', '💬']
11671	['позитивный', 'женщина', 'царствие', 'небесный', '🥺']
11672	['цитата', 'царствие', 'небесный', '🙄', 'вот', 'это', 'спорить', '🤙', 'всё', 'быть', 'небытие', 'нажитое', 'пустой', '🙏']
11673	['отличный', 'оправдание', 'нищеброд', 'неудачник']
11674	['ооо', 'это', 'слышать', 'буржуй', 'любить', 'свой', 'деньга', 'и', 'лешать', 'лешаться', 'рассудок']
11675	['ахахахха']
11676	['🤣', '🤣', '🤣', '🤣', '🤣', '🤣']
11677	['вы', 'украина', 'гнида', 'понятно', 'почему', 'коммент']
11678	['дада', 'неплохо', 'генерировать', 'коммент']
11679	['лентач']
11680	['с', 'хмелцинк', 'хвак', 'дубовый', 'как', 'готовый', 'бамбук', 'курить']
11681	['чёт', 'странно', 'что', 'указать', 'тело', '🤔', '🤔', '🤔', 'вполне', 'убивать', 'никто', 'признание', 'мусор', 'выбить', 'какой', 'смысл', 'признание', 'скрывать', 'тело']
11682	['петь', 'суд', 'признание', 'палка', 'выбить', 'тело', 'дело', 'поэтому', 'сознаваться']
11683	['странный', 'просто', 'тупой', 'админ', 'решить', 'добавить', 'предложение', 'место', 'оно', 'находиться', 'подозревать', 'указывать', 'мочь', 'сообщить', 'река', 'сбросить', 'вот', 'искать']
11684	['да', 'сказать', 'тело', 'это', 'однозначно', 'срок', 'гораздо', 'труп', 'найти', 'шанс', 'помурыжить', 'сизый', 'дать', 'небольшой', 'срок', 'вообще', 'оправдать', 'недоказанность', '🤷', '\u200d', '♀', '️']
11685	['мочь', 'изувечить', 'квалификация', 'особый', 'жестокость']
11686	['совпасть', 'мысль', '👍']
11687	['дело', 'адвокат', 'смотреть']
11688	['серьёзно', 'говорить', 'тело']
11689	['говорить', 'знать', 'убивать', 'просто', 'ларчик', 'открываться', '👍', '😜']
11690	['указывать', 'знать', 'признательный', 'просто', 'выбить']
11691	['потрясать', 'история', 'пропажа', 'один', 'девушка', 'который', 'узнать', 'уехать', 'дагестан', 'выйти', 'замуж', 'а', 'доблестный', 'мент', 'выбить', 'её', 'брат', 'признание', 'убийство']
11692	['сколько', 'такой', 'помнить']
11693	['на', 'указывать', 'есть', 'масса', 'причина', 'при', 'обнаружение', 'тело', 'оказаться', 'подозревать', 'солгать', 'какой', 'образ', 'погибнуть', 'женщина', 'он', 'мочь', 'изнасиловать', 'пытать', 'тд', 'всё', 'это', 'показать', 'вскрытие', 'ложь', 'вскрыться', 'пока', 'тело', 'найти', 'инкриминировать', 'тяжесть', 'преступление']
11694	['лижба', 'делотзакрыть', 'сторона', 'похер']
11695	['стыдно', 'пацан', 'геронтофил', 'прослыть']
11696	['признательный', 'выбить', 'мешать', 'выбить', 'труп', 'спрятать', 'наш', 'доблестный', 'мент', 'очень', 'творческий', 'личность', 'план', 'выбивание', 'работать', 'уметь']
11697	['это', 'скорее', 'набутылить', 'мужик', 'сознаться', 'делать', 'судить', 'человек', 'тело', 'какой', 'доказательство', 'на', 'основываться', 'следователь', 'и', 'такой', 'демонстративно', 'задержание', 'террорист', 'увеганый', 'оружие', 'простой', 'водить', 'работяга', 'можно', 'спокойно', 'подойти', 'зачитать', 'постоновление', 'надеть', 'наручник', 'сопиотивояться', 'убегать', 'никуда', 'понт', 'камера']
11698	['этот', 'тот', 'который', 'недавно', 'наслать']
11699	['это', 'видеть', 'тв', 'год', 'назад']
11700	['сто', 'год', 'работать', 'никто', 'звездить', 'откуда', 'вообще', 'фотограф', 'чета', 'знать', 'умора']
11701	['чета', 'казаться', 'помощник', 'ухо', 'чисто', 'притянуть', 'свесить', 'убийство', 'от', 'указать', 'труп', 'спрятать', 'а', 'настоящий', 'убийца', 'скорее', 'знать', 'финансовый', 'положение', 'тихий', 'делишки', 'свой', 'сделать']
11702	['такой', 'возможно', 'но', 'точно', 'увы', 'узнать']
11703	['как', 'возбудить', 'уголовный', 'дело', 'убийство', 'тело', 'жертва', 'вы', 'что', 'ебобо']
11704	['признаться', 'возбудить', 'возбудить', 'дело', 'статья', 'убийство', 'посадить', 'мужик', 'который', 'убить', 'два', 'девушка', 'молодой', 'он', 'сознаться', 'ржать', 'говорить', 'труп', 'показать']
11705	['обычно', 'дело', 'возбуждать', 'обнаружение', 'труп', 'часть', 'труп', 'либо', 'человек', 'безвестно', 'исчезнуть', 'иметься', 'основание', 'предполагать', 'чио', 'мочь', 'убить']
11706	['такой']
11707	['это', 'россия', 'возможно', 'вопреки', 'весь', 'закон', 'весь', 'логика', '👍', '😄', '😁', '😁', '🤣', '🤣']
11708	['страна', 'возможность']
11709	['представить', 'приговор', 'выносить', 'убийство', 'найти', 'тело']
11710	['признание', 'добываться', 'вопрос']
11711	['обязательно']
11712	['именно', 'случай', 'чкловек', 'пропасть', 'полагать', 'убить', 'чело', 'посадить', 'труп']
11713	['какой', 'вариант']
11714	['вероятно', 'выбить', 'показание', 'который', 'признаться', 'тело', 'показать', 'совершать']
11715	['👍', '👍', '👍', '👍', 'один', 'случай', 'сознаться', 'убийство', 'скпзал', 'тело', 'смысл', 'логика', 'вообще', 'и', 'смотреть', 'адвокат', 'шитый', 'белый', 'нитка']
11716	['пофига', 'пусть', 'посидеть', 'швабра', 'профилактика']
11717	['ладный', 'виновный', 'ты', 'посадить', 'швабра', 'признаваться', 'это', 'убить', 'кенедь', '😜', '😜', '😜']
11718	['быть', 'сидеть', 'швабра', 'раися']
11719	['вероятно', 'кто', 'ты']
11720	['вероятно', 'это', 'значит', 'предположение']
11721	['около', 'откуда', 'такой', 'предположение', 'так', 'кто', 'это', 'вероятно']
11722	['это', 'вероятно', 'я', 'высказать', 'личный', 'мнение', 'кто', 'ещё', 'мочь', 'говорить', 'странный', 'вопрос…', 'судить', 'тот', 'признаться', 'знать', 'тело', 'мочь', 'предположить', 'показание', 'выбить', 'россия', 'это', 'практиковаться', 'давно', 'или', 'это', 'секрет']
11723	['россия', 'это', 'давно', 'практиковаться', 'рассуждать', 'нужно', 'немного', 'понимать', 'что', 'говорить', 'писать', 'а', 'рассказывать', 'тело', 'это', 'лишь', 'говорить', 'совет', 'свой', 'адвокат', 'хотеть', 'избежать', 'строгий', 'наказание', 'зависимость', 'какой', 'способ', 'совершить', 'убийство', 'не', 'первый', 'последний']
11724	['видеть', 'недавно', 'слить', 'тонна', 'видео', 'пытка', 'заключить', 'швабрирование', 'прочее', 'это', 'современный', 'россия', 'признаться', 'грех', 'который', 'совершать']
11725	['вот', 'жить', 'сильный', 'независимый', 'пришибить', 'никто', 'найти']
11726	['муж', 'сын', 'алло']
11727	['правильно', 'там']
11728	['погибнуть', 'скорый', 'только', 'янепонела', 'женщина', 'погибнуть', 'весь', 'семья', 'должный', 'ронять', 'тапка', 'мчаться', 'регистрироваться', 'тиндёр', 'ну', 'сильный', 'независимый']
11729	['погибнуть', 'этот', 'вопрос', 'оставаться', 'открытый', 'с', 'сильный', 'независимый', 'мочь', 'ящик', 'сыграть', 'ранний', 'время', 'но', 'это', 'лишь', 'предположение']
11730	['написать', 'похоронить', 'оба', 'родный']
11731	['читать', 'уметь', 'живой']
11732	['читать', 'уметь', 'это', 'смысл', 'мой', 'коммент', 'дойти', 'бывать']
11733	['умереть']
11734	['такой', 'предположение', 'выдумывать', 'гора', 'маленький', 'тележечка', 'мочь', 'вообще', 'самка', 'богомол', 'родить', 'муж', 'стать', 'нужный', 'отравить', 'сын', 'подрасти', 'понравиться', 'получиться', 'просто', 'вода', 'подавиться', 'сам', 'умереть', 'пьяный', 'идти', 'канава', 'столкнуть', 'смысл', 'ваш', 'коммент', 'тип', 'сильный', 'независимый', 'вызывать', 'сомнение', 'адекватность', 'мало', 'знать', 'такой', 'женщина', 'жизнь', 'ожидать', 'вы', 'сам', 'оценивать', 'с', 'такой', 'предположение']
11735	['вполне', 'реальный', 'сценарий', 'описывать']
11736	['смочь', 'статья', 'приплести']
11737	['страна', 'возможность']
11738	['сейчас', 'быть', 'всюду', 'статья', 'приплетать', 'каждый', 'говорить', 'правда', 'власть', 'чем', 'близкий', 'крах', 'империя', 'безумный', 'закон']
11739	['😂', 'кастрюля', 'снять']
11740	['ага', 'тот', 'закон', 'страна', 'утопия', 'действовать', 'украина', 'вообще', 'закон', 'рыло', 'свой', 'заваль', 'ты', 'закон', 'применить', 'а', 'судить', 'твой', 'высказывание', 'ещё']
11741	['ромович', 'истерить', 'женщина', 'ты', 'штраф', 'дать', '🤣', '🤣', '🤣']
11742	['сейчас', 'ботярый', 'запутинский', 'ватана', 'рублёвый', 'заклевать', 'писать', 'читать', 'стёб', 'идиот', 'отвечать', 'принипа', '☝']
11743	['приплетать', 'путин', 'вг', 'вс', 'рф', 'вот', 'обидеть', 'верховный', 'жрец', 'любой', 'божество', 'это', 'считаться', 'оскорбление', 'бог', 'это', 'настолько', 'прочно', 'войти', 'наш', 'обиход', 'художественный', 'литература', 'проникнуть']
11744	['а', 'вообще', 'слушать', 'говорить', 'президент', 'если', 'слушать', 'говорить', 'почему', 'такой', 'статья']
11745	['полагать', 'такой', 'образ', 'депутат', 'выразить', 'недоверие', 'слово', 'наш', 'солнцеликий', 'неуважение', 'война']
11746	['закон', 'строиться', 'предположение', 'чёткий', 'факт', 'полагать', 'угодный', 'доказательство']
11747	['вот', 'свободный', 'страна']
11748	['свободный', 'другой', 'но', 'голова', 'такой', 'время', 'нужно', 'думать', 'а', 'лапша', 'ухо', 'накладывать', 'депутатик', 'решить', 'словить', 'хайп', 'дескредитируий', 'послание', 'президент', 'такой', 'образ']
11749	['дискридитировать', 'народ', 'наухо', 'лапша', 'вешать', 'год', 'выходить', 'депутат', 'правда', 'пострадать']
11750	['ахах', 'свобода', 'слово', 'нету', 'свобода', 'действие', 'закон', 'страна', 'практически', 'о', 'свобода', 'говорить', 'в', 'магазин', 'сходить', 'купить', 'палка', 'колбаса', 'посидеть', 'интернет', 'жто', 'свобода']
11751	['послушать', 'первый', 'канал', 'каждый', 'второй', 'журналист', 'дискридитировать', 'байден', 'это']
11752	['ага', 'депутат', 'народ', 'радеть', 'ты', 'плохо', 'житься', 'путин', 'при', 'пьяница', 'житься', 'только', 'скулить']
11753	['система', 'устроить', 'нужно', 'знать', 'мат', 'часть', 'что', 'хрен', 'журналюга', 'привлечь']
11754	['признать', 'виновный', 'смотреть', 'монитор', 'лапша', 'ухо']
11755	['посмотреть', 'бедолага', 'везде', 'воздух', 'перекрыть', 'высказывать', 'свой', 'мнение', 'везде', 'агент', 'вовка', 'подслушивать', 'браслет', 'клацать', 'тут', 'нуть', 'один', 'путин', 'путлер', 'называть', 'и', 'ничего', 'это', 'делать', 'тот', 'хмырь', 'назвать', 'соц', 'сеть', 'например', 'президент', 'польша', 'подобно', 'сразу', 'оказаться', 'холодный', 'застенок', 'вы', 'скулить', 'далёкий', 'скулить', 'собака', 'лаять', 'караван', 'идти', 'свобода', 'решить', 'просто', 'смешно', 'читать']
11756	['власть', 'дискредитировать', 'сам', 'дискредитировать', 'да', 'депутат', 'думать', 'дискредитировать', 'конкретный', 'человек', 'который', 'обещать', 'пенсионный', 'возраст', 'поднимать', 'принимать', 'участие', 'фильм', 'сказать', 'никакой', 'трагедия', 'норд', 'ост', 'уснуть', 'проснуться', 'прежде', 'ляпать', 'неплохо', 'б', 'думать', 'ляпать', 'сказать', 'базар', 'фильтровать', 'население', 'наш', 'поголовно', 'амнезия', 'страдать', 'речеиспускание', 'помнить']
11757	['это', 'называться', 'свобода', 'слово', 'система', 'устроить', 'человек', 'мочь', 'выражать', 'свой', 'мнение', 'угодный', 'какой', 'образ', 'дискридитировать', 'воененный', 'лапша', 'ухо', 'помнить', 'ранний', 'шутить', 'елцин']
11758	['как', 'такой', 'дебил', 'избрать', 'депутат']
11759	['мало', 'кто', 'избирать']
11760	['😅', '😅', '😅', '😅', '😅', '😡']
11761	['путин']
11762	['молодой', 'депутат', 'почему', 'армия', 'больной']
11763	['приходить', 'повестка', 'у', 'отсрочка', 'ль', 'депутат']
11764	['точно', 'здоровый', 'первый', 'фотка', 'видно']
11765	['депутат', 'подлежать', 'призыв']
11766	['депутат', 'армия', 'твой', 'ребёнок']
11767	['каждый', 'человек', 'должный', 'свой', 'место', 'свой', 'занять', 'попытаться', 'выходка', 'занять', 'другой', 'место']
11768	['миша', 'копеечка', 'помочь']
11769	['суд', 'лапша', 'прийти', 'дуршлаг', 'голова']
11770	['тип', 'невминять', 'прикидываться', 'полный']
11771	['типо', 'правда', 'суд']
11772	['надо', 'отправить', 'лапша', 'ухо', 'зона', 'боевой', 'действие']
11773	['царь', 'интерес', 'олигарх']
11774	['сво', 'или', 'чисто', 'поорать', 'коммент', 'другой', 'поотправлять', 'сам', 'топать', 'защита', 'свой', 'родина']
11775	['лопата', 'рука', 'передовой']
11776	['пример', 'показать', 'давать', 'ждать', 'репортаж', 'фронт']
11777	['легко', 'жить', 'мозг', 'прежде', 'тявкать', 'шавка', 'забор', 'закрытый', 'страница', 'узнать', 'кто', 'обращаться', 'такой', 'свой', 'время', 'вертеть', 'указатель', 'перу', 'подавиться', 'слюна', 'умник']
11778	['в', 'сво', 'вместе', 'лапша', 'пусть', 'пиариться', 'закатить', 'пир', 'время', 'чума']
11779	['что', 'вспышка', 'чума', 'начаться', 'почему', 'курс', 'пир', 'лапша', 'нынче', 'элитный', 'пиршество', 'ого', 'обнищать', 'ль']
11780	['и', 'жалко', 'обдолбыш', 'херов']
11781	['зависимость', 'это', 'болезнь', 'жалко']
11782	['дура']
11783	['благополучный', 'семья', 'намечаться']
11784	['получиться', 'сказка', 'они', 'жить', 'долго', 'счастливо', 'умереть', 'день', 'вообще', 'гадость', 'пробовать', 'нужно']
11785	['чернильница', 'туда', 'дорога']
11786	['алина', 'татарский', 'имя', 'алмаз', 'скорее', 'казах', 'что']
11787	['сказать', 'штутгарт', 'пхахи', 'штутгарт', 'оглы']
11788	['ситуация', 'произойти', 'уфа', 'уфа', 'башкирия', 'не', 'видеть', 'странный', 'юноша', 'мочь', 'башкир', 'татар', 'который', 'имя', 'алмаз', 'достаточно', 'распространить', 'девушка', 'также', 'мочь', 'башкирка', 'татарка']
11789	['хороший', 'блать', 'муслим', 'наркота', 'сдохнуть', 'праведный', 'высокоморальный', 'ислам', 'ёптить', '😂', '😂', '😂', '😂', '😂']
11790	['че', 'хрюкать', 'гуманист']
11791	['ааааа', 'менять', 'праведный', 'мусульманин', 'кошерный', 'наркотик', 'сдохнуть', '😂', '😂', '😂']
11792	['причём', 'религия', 'соблюдать', 'человек', 'религия', 'запрещать', 'наркотик', 'тупой', 'высказывание', 'что', 'вообще', 'курить']
11793	['весь', 'религия', 'такой', 'праведник', 'выставлять', 'сам', 'наркош', 'алкаш']
11794	['причём', 'мусульманин', 'далеко', 'башкир', 'татарин', 'мусульманин', 'многие', 'вообще', 'являться', 'приверженец', 'либо', 'религия']
11795	['минус', 'торчать', 'страшный']
11796	['и', 'умереть', 'день']
11797	['небольшой', 'потеря']
11798	['печально', 'всё', 'это']
11799	['наоборот', 'сдохнуть', 'торчок', 'что', 'печальный']
11800	['жизнь', 'тупо', 'слить']
11801	['проблема']
11802	['зато', 'покайфовать']
11803	['разочек']
11804	['здоровье', 'позволить']
11805	['видеть', 'позволить']
11806	['сколько', 'верёвочка', 'виться', 'конец']
11807	['увы', 'ах']
11808	['ребёнок']
11809	['опять', 'мёд', 'вместо', 'мефа']
11810	['это']
11811	['что', 'мёд', 'ноздря', 'пускать', 'я', 'думать', 'вена']
11812	['прополис']
11813	['это', 'лишний']
11814	['современный', 'тенденция', 'случай', 'последний', 'время', '😒', '😒', '😒']
11815	['мёд', 'вена', 'ноздря', 'передоз']
11816	['это', 'зависеть', 'сколько', 'сделать']
11817	['ноздря', 'сделать', 'столько', 'век', 'это', 'капут', 'думать', 'это', 'меф', 'делать', 'жирный', 'дорога', 'два', 'итог', 'дурак', 'ясный']
11818	['меф', 'вонючий', 'мочь', 'отличить', 'запах', 'мёд', 'иметь', 'резкий', 'запах']
11819	['нет', 'мёд', 'иметь', 'вкус', 'запах', 'прикол', 'меф', 'который', 'пахнуть', 'вкус', 'неощутимый', 'основное', 'травиться', 'насмерть', 'неопытный', 'дилетант', 'скажем']
11820	['здоровье', 'наркота', 'жизнь', 'смерть', '🤔']
11821	['пох']
11822	['правильно', 'херли', 'делать']
11823	['ставка', 'делать']
11824	['ставить', 'свой', 'миллион', 'скоро', 'смочь', 'купить', 'москвич', 'волга']
11825	['икс', 'бета', 'ставка']
11826	['не', 'бк', 'леон']
11827	['задолбать', 'реклама', 'ютуба']
11828	['но', 'ещё', 'париматч', 'винлайна', 'олимпбета']
11829	['скоро', 'заблокировать', 'новость', 'писать', 'м', 'санкция', 'дойти']
11830	['налоговый', 'пенсионный', 'ук']
11831	['поэтому', 'парень', 'покинуть', 'мир', 'мочь', 'свет', 'контора', 'хороший', 'быть']
11832	['не', 'такой', 'знать']
11833	['в', 'год', 'ставка', 'там', 'ход', 'папаня', 'ку', 'ку', 'сыночек', 'от', 'осинка', 'родиться', 'апельсинка']
11834	['родиться', 'кокосинка', '😊']
11835	['вполне', 'родиться', 'изучать', 'генетик']
11836	['человек', 'азарт', 'подверженный', 'частый', 'именно', 'юный', 'возраст', 'в', 'разный', 'способность', 'контролировать', 'как', 'алкоголь', 'многий', 'другой', 'адекватный', 'человек', 'тот', 'сопля', 'год', 'осознавать', 'быть', 'последствие', 'так', 'утверждение', 'странный']
11837	['играть', 'без', 'папаня', 'и', 'видеть', 'спустя', 'десятка', 'год', 'живой', 'в', 'долг', 'влезть', 'себя', 'покончить', 'весь', 'знать', 'мера']
11838	['лепесинк', 'привинтить', 'осинка', 'родиться', 'кокосинка']
11839	['батя', 'должный', 'следить', 'седой', 'мудьёв']
11840	['есть', 'основа', 'исключение', 'есть', 'рецесивный', 'ген', 'можно', 'родить', 'ген', 'химера', 'какой', 'чикатить', 'например', 'мой', 'толстой', 'мелкий', 'подруга', 'работа', 'родить', 'толстой', 'мелкий', 'чело', 'тот', 'работа', 'дочь', 'высокий', 'худой', 'вырасти', 'мать', 'отец', 'смотреть', 'кг', 'дочь', 'кг', '🤷']
11841	['это', 'понятно', 'ген', 'развиться', 'целый', 'система', 'генерация', 'многое', 'зависеть', 'началоположничество', 'родитель']
11842	['как', 'приятно', 'встретить', 'человек', 'обладать', 'ум', 'здешний', 'простор']
11843	['мы', 'шизотерик', 'многое', 'знать', 'многое', 'видеть', 'многое', 'помнить', 'многое', 'пробовать', 'многое', 'понимать', 'мы', 'старый', 'черепаха', 'помнить', 'всё', 'рассказать', 'мы', 'увы', 'некого']
11844	['маякнуть']
11845	['гудини', 'подобный', 'эксперимент']
11846	['подробный']
11847	['малявка', 'заблуждаться']
11848	['надеяться']
11849	['😃']
11850	['молодой']
11851	['жалко', 'молодой', 'уйти', 'жизнь', 'не', 'услышать', 'тот', 'многий', 'хит', 'который', 'будущее', 'написать', 'максим', 'стацюр']
11852	['если', 'такой', 'юный', 'возраст', 'сидеть', 'ставка', 'человек', 'сдохнуть', 'сдохнуть', 'ничего', 'страшный']
11853	['ставка', 'бонусхантинг', 'разный', 'вещь']
11854	['родиться', 'умереть', 'путин', 'видеть', '😎']
11855	['доткать', 'кс', 'ку', 'вейп', 'меф', 'пивасик', 'что']
11856	['нечгео', 'увидти']
11857	['парень', 'продержаться', 'сталин', 'вообще', 'путин', 'пять', 'месяц', 'смочь', 'прожить']
11858	['что', 'далее', 'н', 'ка']
11859	['точно…аж', 'печально…']
11860	['хотеть', 'сразу']
11861	['баба']
11862	['молодёжь']
11863	['баба']
11864	['есть', 'перерождение', 'тот', 'проблема']
11865	['доказательство']
