	comment
136	['это', 'факт', 'потому', 'нехватка', 'начаться', 'глобальный']
137	['депутат', 'нанимать', '⚠']
138	['депутат', 'идти', 'стать', 'второй', 'жириновский']
139	['так', 'последний', 'пять', 'год', 'не', 'морочта', 'голова']
140	['человек', 'становиться', 'умный', 'а', 'пердолить', 'готовый', 'любой', 'копейка', 'работать', 'закончиться']
141	['закончиться', 'в', 'близкий', 'год', 'демографический', 'ям', 'ситуация', 'плохой', 'молодой', 'специалист', 'маленький', 'пенсионер', 'лицо', 'предпенсионный', 'возраст']
142	['а', 'что', 'дорого', 'сделать', 'дешёвый', 'опять', 'бюджет', 'пилить', 'ваш', 'звёздный', 'час', 'торг', 'открытый', 'вперёд']
143	['а', 'предыдущий', 'сдуться']
144	['хороший', 'потратить', 'деньга', 'охрана', 'чтоб', 'пресекаться', 'доступ', 'парк', 'гопник', 'собачник', 'наркоман', 'голубятник', 'прочий', 'люмпен']
145	['парка', 'зона', 'выгул', 'собака', 'оборудовать', 'как', 'владелец', 'собака', 'наркоман', 'один', 'список', 'обозначить', 'добрый', 'человек']
146	['бабка', 'пилить']
147	['соблюдать', 'правило', 'формально', 'смотреть', 'окружающий', 'протаранить', 'всегда', 'делать']
148	['золотой', 'слово']
149	['формально', 'сказать']
150	['с', 'двор', 'знак', 'поставить', 'направо', 'проблема', 'решить']
151	['знак', 'кто', 'останавливать']
152	[]
153	['думать', 'право', 'получить', 'такой', 'познание', '🤦\u200d', '♂️', 'отличие', 'перекрёсток', 'зона', 'разворот', 'проезжий', 'часть', 'учить', 'самый', 'первый', 'занятие', 'автошкола', 'правило', 'открыть', 'разъяснение', 'всё', 'это']
154	['правелами', 'прописать', 'траектория', 'проезжать', 'место', 'разворот', 'любой', 'помеха', 'встречный', 'движение']
155	['у', 'тот', 'выезжать', 'двор', 'вообще', 'номер', 'шешнадцатый', 'самый', 'последний', 'приоритет', 'пешеход', 'кошка', 'собака', 'идти', 'тротуар', 'так', 'смор']
156	['полюбома', 'знак', 'движерие', 'право', 'должный']
157	['а', 'знак', 'вообще', 'лишний']
158	['выехать', 'двор', 'уступить', 'весь', 'остановиться', 'середина', 'технологический', 'разрыв', 'выезжать', 'ты', 'лоб', 'справа', 'желать', 'развернуться', 'как', 'ситуация']
159	['приезжать', 'правило', 'проезд', 'место', 'разворот', 'выезжать', 'двор', 'должный', 'уступать', 'баранов', 'посылать', 'стойло', 'ну', 'правило', 'три', 'далее', 'забывать']
160	['схема', 'верный', 'разворот', 'ряд', 'перестройка', 'а', 'схема', 'почему', 'ряд', 'сразу']
161	['схема', 'смотреть', 'в', 'пдд', 'всё', 'прописать', 'остаться', 'исполнять', '🤷']
162	['а', 'расчистить', 'место', 'разворот', 'два', 'полоса', '🤔']
163	['на', 'перекрёсток', 'большой', 'радиус', 'технологический', 'разрыв', 'малый', 'сложный']
164	['бред', 'пдд', 'писать']
165	['это', 'правило', 'это', 'обычай', 'который', 'следовать', 'соблюдать', 'всякий', 'случай', 'автошкола', 'учить', 'разъезжаться']
166	['понятие', 'иметь', 'учить', 'разъезжаться', 'автошкола', 'пдд', 'написать']
167	['факт', 'лёгкий', 'правило', 'проезжать', 'особо', 'видеть', 'наоборот', 'делать']
168	['пдд', 'сожаление', 'траектория', 'сказать', 'разъяснение', 'который', 'говориться', 'водитель', 'траектория', 'выбирать', 'самостоятельно', 'олень', 'автошкола', 'рекомендовать', 'разъезжаться', 'правый', 'борт', 'перекрёсток', 'разумеется']
169	['что', 'перекрёсток', 'правый', 'борт']
170	['получаться', 'встречный', 'полоса', 'движение', 'въезжать', 'напоминать', 'говорить', 'разворот', 'знак']
171	['перекрёсток', 'один', 'пересечение', 'проезжий', 'часть', 'встречка', 'выполнять', 'разворот']
172	['это', 'такой', 'информация', 'впервые', 'слышать']
173	['й', 'западный', 'пдд']
174	['разворот', 'это', 'поворот', 'левый', 'крайний', 'левый', 'положение', 'место', 'разворот', 'поехать', 'дальний', 'радиус', 'попадать', 'полоса', 'встречный', 'движение', 'на', 'перекрёсток', 'начать', 'разворот', 'малый', 'радиус', 'попадать', '«встречку»', 'всё', 'просто']
175	['встречка', 'перекрёсток']
176	['разворот', 'один', 'направление']
