185,"[id716568583|Zuluz], не говори гоп, а дальше сам знаешь)"
186,"[id134174310|Сергей], а ты не лезь со своими комментами, а то сам знаешь!"
187,"[id707984361|Serious], что то я не пойму! Кому пиZдишь! Или уши отморозил?"
188,"[id707984361|Serious], обычная,платить то они будут своей валютой но в итоге к нам все будет попадать в рублях.С начала прочитай вообще что к чему,А потом уже вставляй свои 5 копеек"
189,"[id716568583|Zuluz], газ в хранилищах на территории Германии. Держу в курсе."
190,"[id714746438|Ilshat], По-русски научись писать. Обезьяна."
191,"[id15462597|Дарьюшка], а обвинения России за один день"
192,"[id339442755|Сергей], ушли оккупанты, остались трупы. Много времени надо чтобы обвинить?"
193,"[id339442755|Сергей], зато страничку в Вики успели накатать, даже чуваки из польского сейма успели оx*еть и решили, что слишком палевно и не стали обвинять РФ преждевременно."
194,"[id183346087|Уладзіслаў], пришли украинцы - появились трупы, норм логика, да?"
195,"[id707984361|Serious], так его и не было там, он же 1го апреля вместе с войсками приехал"
196,"[id339442755|Сергей], а фейки от Кремля за один день."
197,"[id20689284|Дмитрий], ну если бы оккупанты не приходили вообще, то трупов бы не было. Норма логика?"
198,"[id183346087|Уладзіслаў], трупы с белыми повязками и рядом с ними сух пайки от армии рф) сами выдали пайки, и сразу же убили ))"
199,"[id210951781|Заур], у меня мозг взрывается. Если советский крестьянин шёл с вилами на немца , то он герой и партизан. Если украинец идёт с вилами на лётчика чужой станы , который непонятно зачем упал на его поле, то он сепаратист. Партизан и сепаратист - это почти тоже самое, как разведчик и шпион?"
200,"[id289120882|Алина], это лицемерие и двойные стандарты"
201,"[id210951781|Заур], я тоже смотрел эти видео в украинских телеграмм каналах, в которых сейчас уже пишут про ""134 сбитых самолётах"". Не факт, что так всё реально было."
202,"[id123293306|Егор], не путай статистику. У нас ведь тоже всего 500 погибших )))) там конкретные люди, называют части , есть и мои земляки . Не сложно ведь понять , где правда, а где под сомнение можно поставить ."
203,"[id289120882|Алина], Если крестьянин взял в руки оружие - то он уже не крестьянин а противник и поступать с ним нужно как и с любым другим противником или ты думаешь амеры в Афганистане церемонились с трудолюбивыми и миролюбиаыми дехканами - по пытавшихся к ним хотя-бы приблизится?.. 🤔"
204,"[id210951781|Заур], ну ты реально знаешь этих людей? В таких интервью будут максимально точно оперировать фактами, просто, очень много выкладывали ""перехваченных"" переговоров, где солдаты не говорят ничего, кроме потерь сослуживцев и совершенных преступлениях. Про Бучу большие сомнения, так как вокруг стоят целые, не разрушенные дома. Вот, глядя на Мариуполь, совсем другая картина."
205,"[id51748901|Юрий], действительно, за4ем трусливым мразям- оккупантам издеваться над мирными? Может потому 4то нутро у них гнилое, раз со старта шли выполнять преступные приказы!?"
206,"Вероятно в тебе говорит злость и это можно понять. Войну я не приветствую, и нарушение суверенных границ страны тоже, но уж больно жирно как то все эти казни гражданских..."
207,"[id51748901|Юрий], всмысле, это едини4ный слу4ай 4толи? А Мариуполь, а Харьков, а 4ернигов? Там не велся и не ведется огонь по заведомо жилым кварталам в том 4исле и тем, где военными и не пахло? А под Энергодаром не расстреливали машины, пытающие вывезти семьи? Это не жирно было?"
208,"[id51748901|Юрий],
- «мы не нападем на Украину», но напали
- «мы бомбим только военные объекты», Мариуполь стёрт с лица земли
- «срочников там нет», но оказывается есть

Ложь на лжи и поэтому уже никакая новость о пи3деже со стороны Кремля не кажется жирной."
209,"[id51748901|Юрий], иностранные следственные группы уже приехали, ждем результатов"
210,На войне все врут так то
211,"[id51748901|Юрий], я с самого начала конфликта против России, но тоже есть сомнения, слишком уж чернушно всё это, но также есть мысль, разве возможно фальсифицировать, напривозить с собой и сделать такие провокации для очернения? Это слишком большие объемы, слишком много людей задействовано было бы, хоть один но слился бы, кто-то заснял или проболтались, поэтому пока всё говорит против русских"
212,"[id97676132|Never], а Катынь? А изнасилованные немки? А зачем НКВД резало украинских селян? Зверью не нужны причины"
213,"[id51748901|Юрий], они сами себя очернили хуже некуда"
214,"Всё запутанно. По сути русским нет смысла валить гражданских, но может тут есть какие то другие вещи, о которых мы не знаем"
215,"[id712530141|Альбина], вообще=то говорят, что есть съёмки с улмчных видеокамер."
216,"[id712530141|Альбина], призывать нато участвовать в войне"
217,"[id712530141|Альбина], фейки??это??"
218,"[id70611707|Глеб], наконец кто-то ответил кремлю на эти сальные лекции о неполноценности и национальной недоразвитости украинцев."
219,"[id153102544|Никита], ага. совсем не нацизм."
220,"[id5127383|Кира], клин клином как говорится, наши наверняка сразу губки надуют, обидятся. Хотя сами на кухне ещё похлеще нацизмом балуются каждый вечер после новостей."
221,"[id70611707|Глеб], это сказал Джорж Паттон 1945 году"
222,"[id153102544|Никита], ""клин клином"" - логика из разряда ""им можно, а нам нет"", против которой активно выступает вся просвещенная интеллигенция. Но это же другое. Тьфу. В высших эшелонах власти одна гнилая мерзость. Что у нас, что Зеленский, что Байден, что Качиньский - все переводят стрелки друг на друга, скрывая свои преступления. Пшеки так вообще активнее всех втравливают Европу в войну и выступают за открытую конфронтацию. Мировые лидеры пилять 👍🏻"
223,"[id70611707|Глеб], не знал, что Джордж Паттон переименовался во Володимира))"
224,"[id5127383|Кира], выше уже разоблачили, что довольно очевидно кстати. В такое время приписывать всем разные цитаты одна из любимых забав."
225,"[id153102544|Никита], Зеленский очень много чего говорит, в том числе под камеру. Что-то даже приходися вырезать :) В общем, ни к одному из вышеперечисленных персонажей не испытываю ни грамма симпатии."
